X,Artist,Followers,Genres,NumAlbums,YearFirstAlbum,Gender,Group.Solo
0,Ed Sheeran,52698756,"pop,uk pop",8,2011,M,Solo
1,Justin Bieber,30711450,"canadian pop,dance pop,pop,post-teen pop",10,2009,M,Solo
2,Jonas Brothers,3069527,"boy band,dance pop,pop,post-teen pop",10,2006,M,Group
3,Drake,41420478,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",11,2010,M,Solo
4,Chris Brown,9676862,"dance pop,pop,pop rap,r&b,rap",6,2005,M,Solo
5,Taylor Swift,23709128,"dance pop,pop,post-teen pop",10,2006,F,Solo
6,Blake Shelton,4511508,"contemporary country,country,country road",12,2001,M,Solo
7,Nicki Minaj,16331335,"dance pop,hip pop,pop,pop rap,post-teen pop,rap",10,2010,F,Solo
8,Panic! At The Disco,8129075,"baroque pop,emo,modern rock,pop punk",8,2005,M,Group
9,Lee Brice,1094596,"contemporary country,country,country road,modern country rock",4,2010,M,Solo
10,Katy Perry,14004245,"dance pop,pop,post-teen pop",7,2008,F,Solo
11,Young Thug,4471452,"atl hip hop,atl trap,gangster rap,melodic rap,pop,pop rap,rap,trap music",17,2011,M,Solo
12,J. Cole,9417086,"conscious hip hop,hip hop,nc hip hop,pop rap,rap",9,2009,M,Solo
13,Daddy Yankee,14076638,"latin,latin hip hop,pop,reggaeton,tropical",9,2002,M,Solo
14,Migos,9473441,"atl hip hop,pop,pop rap,rap,southern hip hop,trap music",13,2011,M,Group
15,Meek Mill,3591329,"hip hop,philly rap,pop,pop rap,rap,southern hip hop,trap music",32,2011,M,Solo
16,Lady Gaga,9370435,"dance pop,pop",9,2008,F,Solo
17,Tyler The Creator,3384070,"hip hop,pop rap,rap",6,2011,M,Solo
18,YG,1916093,"cali rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",11,2011,M,Solo
19,DJ Khaled,4249473,"hip hop,miami hip hop,pop,pop rap,rap,southern hip hop,trap music",10,2007,M,Solo
20,Luke Bryan,4556839,"contemporary country,country,country road",10,2007,M,Solo
21,P!nk,7214210,"dance pop,pop,post-teen pop",8,2000,F,Solo
22,Bruno Mars,22677758,"dance pop,pop,post-teen pop",3,2010,M,Solo
23,Eric Church,2226809,"contemporary country,country,country road,modern country rock",13,2006,M,Solo
24,Jason Aldean,3363492,"contemporary country,country,country road",8,2005,M,Solo
25,Gucci Mane,2904919,"atl hip hop,dirty south rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",132,2005,M,Solo
26,Beyonce,20494887,"dance pop,pop,r&b",12,2003,F,Solo
27,Chris Young,1605863,"contemporary country,country,country road,modern country rock",8,2006,M,Solo
28,Eli Young Band,523571,"contemporary country,country,country road,heartland rock,modern country rock,outlaw country,red dirt,texas country",7,2005,M,Group
29,Pedro Capo,685042,"latin pop,puerto rican pop",4,2007,M,Solo
30,Justin Moore,1025450,"arkansas country,contemporary country,country,country road,modern country rock,redneck",6,2009,M,Solo
31,Nicky Jam,10051233,"latin,latin hip hop,pop,reggaeton,tropical",8,2001,M,Solo
32,Nipsey Hussle,1114710,"conscious hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",19,2009,M,Solo
33,Yo Gotti,2583062,"dirty south rap,gangster rap,hip hop,memphis hip hop,pop,pop rap,rap,southern hip hop,trap music",28,2006,M,Solo
34,Cody Johnson,235754,"contemporary country,country road,modern country rock,outlaw country,red dirt,texas country",6,2009,M,Solo
35,Miley Cyrus,10054490,"dance pop,pop,post-teen pop",9,2007,F,Solo
36,Maroon 5,20445189,pop,11,2002,M,Group
37,Lady Antebellum,2654356,"contemporary country,country,country dawn,country pop,country road,neo mellow",9,2008,,Group
38,2 Chainz,4943181,"atl hip hop,gangster rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",17,2010,M,Solo
39,Ellie Goulding,7039401,"dance pop,edm,electropop,metropopolis,pop,post-teen pop,tropical house,uk pop",5,2010,F,Solo
40,Diplo,2096548,"bmore,edm,moombahton,ninja,pop",8,2004,M,Solo
41,ScHoolboy Q,2774150,"hip hop,pop,pop rap,rap,southern hip hop,trap music,underground hip hop",7,2011,M,Solo
42,French Montana,3080724,"hip hop,pop,pop rap,rap,southern hip hop,trap music",16,2007,M,Solo
43,Scotty McCreery,508501,"contemporary country,country,country road,modern country rock",6,2011,M,Solo
44,Five Finger Death Punch,3528566,"alternative metal,groove metal,nu metal,post-grunge",14,2007,M,Group
45,Aventura,3155939,"bachata,latin,latin hip hop,latin pop,tropical",9,1999,M,Group
